RecordNo,Author,Year,LatinName,CommonName,Class,StudyPop,GroupID_global,GroupID_fitness_component,Origin,Sex,Age,FitnessProxy,FitnessDetails,FitnessMeasured,Behaviour,BehavCoding,BehavDetails,LevelBehav,LevelFit,Level_GroupID,NInd,Nobs,Analysis,df,dfeff,r_direct,r_method,sign,SignReversed,r,Zr,F,U,chi2,t,z,p,r2,CohenD,estimate,L95CI,U95CI,se,sd,OR,HR,a,Source,SuppMat/Data,Checked,Conditions,Comments,
183,Niemela,2015,Gryllus campestris,field cricket,Insecta,Germany,E-187,E-187,f,f,j,survival,number of days surviving over 67 days of observation,nat,boldness,continuous,time for entire body to emerge from burrow following disturbance,phenotypic,phenotypic,9,14,146,poisson glmer,,,0,d to r,pos,-1,0.0683,,,,,,,,,-0.13684771,-0.00257,,,0.01878,0.045586676,,,,raw data,1,1,,,
183,Niemela,2015,Gryllus campestris,field cricket,Insecta,Germany,E-187,E-187,f,f,j,survival,number of days surviving over 67 days of observation,nat,boldness,continuous,time for entire body to emerge from burrow following disturbance,among,phenotypic,9,14,146,MCMC glmm,,,1,moiron,pos,-1,,0.813,,,,,,,,,,,,-0.254,,,,,moiron et al,1,1,,,
183,Niemela,2015,Gryllus campestris,field cricket,Insecta,Germany,E-188,E-188,f,m,j,survival,number of days surviving over 67 days of observation,nat,boldness,continuous,time for entire body to emerge from burrow following disturbance,phenotypic,phenotypic,10,11,123,poisson glmer,,,0,d to r,neg,-1,-0.0175,,,,,,,,,0.034967917,0.0004921,,,0.0140729,0.070268326,,,,raw data,1,1,,,
183,Niemela,2015,Gryllus campestris,field cricket,Insecta,Germany,E-188,E-188,f,m,j,survival,number of days surviving over 67 days of observation,nat,boldness,continuous,time for entire body to emerge from burrow following disturbance,among,phenotypic,10,11,123,MCMC glmm,,,1,moiron,neg,-1,,-0.254,,,,,,,,,,,,-0.321,,,,,moiron et al,1,1,,,
184,Nunes,2014,Urocitellus beldingi,belding’s ground squirrel,Mammalia,USA,114a,114a,f,f,a,repro,having or not a yearling daughter,nat,aggression,continuous,"score based on behaviour such as threat ,chase, attack, and fight toward conspecific",phenotypic,phenotypic,0,82,,discriminant analysis,80,,0,Eq 1,pos,1,0.2551,,,,,2.36,,0.021,,,,,,,,,,,text,0,1,,adult females with a yearling females daughter were more aggressive than those who did not,
184,Nunes,2014,Urocitellus beldingi,belding’s ground squirrel,Mammalia,USA,114a,114a,f,f,a,repro,"wean a litter or not (0,1)",nat,social behaviour,continuous,"number of social play interactions (wresling, tackling, boxing, chasing…) per hour of observation",phenotypic,phenotypic,0,81,,discriminant analysis,79,,0,Eq 1,pos,1,0.3887,,,,,3.75,,<0.001,,,,,,,,,,,text,0,1,,Yearling females who weaned a littter had a higher rates of social play as a juvenile,
185,Olsen,2012,Gadus morhua,atlantic cod,Actinopterygii,Norway,112a,112a,f,u,a,survival,fish caught  or not by fisheries ,nat,activity,continuous,diel migration,phenotypic,phenotypic,0,46,46,logistic regression,,,0,Eq 10,neg,1,-0.2323,,,,,,,,,-0.477692993,-0.866,,,,,,,,Table 3,0,1,,"for harvesting, 2 more behaviours are presented in Table 3 but they are correlated to the first one so picked first one only. used % given in text to calculate sample size. Used n harvested = 16, n survived = 30. sign: harvesting selected against fish that utilized shallow depths (ie survial is higher for fish with higher VP - go deeper)","used alpha coefficent in table, then eq 10 then ES calculator"
185,Olsen,2012,Gadus morhua,atlantic cod,Actinopterygii,Norway,113a,113a,f,u,a,survival,fish that died from other causes than fisheries,nat,activity,continuous,Activity space (3 dimentional kernel utilization distribution),phenotypic,phenotypic,0,39,39,logistic regression,,,0,Eq 10,pos,1,0.2218,,,,,,,,,0.459489912,0.833,,,,,,,,Table 3,0,1,,"used % given in text to calculate sample size. Used n died from other causes than harvested = 9, n survived = 30.","used alpha coefficent in table, then eq 10 then ES calculator"
186,O'Rourke,2014,Etheostoma flabellare,fantail darter,Actinopterygii,USA,110a,110a,w,m,a,repro,presence of eggs,art,aggression,continuous,intrasexual aggression (chasing) in high sex ratio streams,phenotypic,phenotypic,0,20,,GLMM with binomial distribution and logit link function,,,0,mean SD,pos,1,0.5455,,,,,,,,,,,,,,,,,,text,0,1,,"use means and SD to calculate r. mean/SD aggression score males with eggs (n=5 from Table s1)= 1.74 +-2.6, males without eggs (n=15)= -0.13+-0.85",did not use model coefficients due to significant interaction with sex ratio
186,O'Rourke,2014,Etheostoma flabellare,fantail darter,Actinopterygii,USA,110a,110a,w,m,a,repro,presence of eggs,art,aggression,continuous,intersexual aggression (chasing) in high and low sex ratio streams,phenotypic,phenotypic,0,20,,GLMM with binomial distribution and logit link function,,,0,Eq 10,pos,1,0.0647,,,,,,,,,0.129628006,0.235,,,0.22,0.98386991,,,,Table 2,0,1,,calculated SD (srqt (n) * se) and then d (=beta/SD) and use ES calculator excel file to convert to r. ,
186,O'Rourke,2014,Etheostoma flabellare,fantail darter,Actinopterygii,USA,110a,110a,w,m,a,repro,number of eggs,art,aggression,continuous,intrasexual aggression (chasing),phenotypic,phenotypic,0,18,,LM,,,0,d to r,pos,1,0.4011,,,,,,,,,0.875767979,1.241,,,0.334,1.417041989,,,,Table 3,0,1,,calculated SD (srqt (n) * se) and then d (=beta/SD) and use ES calculator excel file to convert to r. ,
186,O'Rourke,2014,Etheostoma flabellare,fantail darter,Actinopterygii,USA,110a,110a,w,m,a,repro,number of eggs,art,aggression,continuous,intersexual aggression (chasing),phenotypic,phenotypic,0,18,,LMM,,,0,d to r,pos,1,0.3433,,,,,,,,,0.731045292,1.588,,,0.512,2.172232032,,,,Table 3,0,1,,calculated SD (srqt (n) * se) and then d (=beta/SD) and use ES calculator excel file to convert to r. ,
188,Parent,2013,Rattus norvegicus,rat,Mammalia,Canada,109a,109a,l,f,a,repro,litter size,art,aggression,continuous,"number of pins (on top of another animal, show dominance) ",phenotypic,phenotypic,0,20,20,regression,,,1,direct,pos,1,0.44,,,,,,,<0.01,,,,,,,,,,,text and fig 4,0,1,,all good,
189,Patrick,2012,Parus major,great tit,Aves,UK,107a,107a,w,m,a,repro,number of within-pair young sired that survived fledging,nat,exploration,continuous,PCA behaviour in NO such as hops and flights (low EB scores are associated with shy individuals),phenotypic,phenotypic,0,115,,GLM with quasi poisson error,91,,0,Eq 2,neg,1,-0.2479,,5.96,,,,,0.02,,,,,,,,,,,text,1,1,,sample size from Fig 1. shyer males sired more within pair youngs,
189,Patrick,2012,Parus major,great tit,Aves,UK,107a,107a,w,m,a,repro,number of extr pair young,nat,exploration,continuous,PCA behaviour in NO such as hops and flights (low EB scores are associated with shy individuals),phenotypic,phenotypic,0,115,,GLM binomial structure,90,,0,Eq 2,pos,1,0.165,,2.52,,,,,0.11,,,,,,,,,,,text,1,1,,sample size from Fig 1. bolder males had more EPY,
190,Patrick,2014,Thalassarche melanophrys,black-browed albatross,Aves,sub-antarctic island,105a,105a,f,f,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,foraging,continuous,maximun range (km),phenotypic,phenotypic,0,25,,Bayesian,,,0,mean SD,neg,1,-0.4799,,,,,,,,,1.094,,,,,,,,,Table S1,0,1,,successful females had lower max range than non successful females,
190,Patrick,2014,Thalassarche melanophrys,black-browed albatross,Aves,sub-antarctic island,106a,106a,f,m,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,foraging,continuous,maximun range (km),phenotypic,phenotypic,0,48,,Bayesian,,,0,mean SD,pos,1,0.0106,,,,,,,,,-0.0212,,,,,,,,,Table S1,0,1,,successful males had bigger max range than non successful males,
190,Patrick,2014,Thalassarche melanophrys,black-browed albatross,Aves,sub-antarctic island,105a,105a,f,f,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,foraging,continuous,trip duration (hours),phenotypic,phenotypic,0,25,,Bayesian,,,0,mean SD,neg,1,-0.6107,,,,,,,,,1.5426,,,,,,,,,Table S1,0,1,,successful females had lower trip duration,
190,Patrick,2014,Thalassarche melanophrys,black-browed albatross,Aves,sub-antarctic island,106a,106a,f,m,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,foraging,continuous,trip duration (hours),phenotypic,phenotypic,0,48,,Bayesian,,,0,mean SD,neg,1,-0.3159,,,,,,,,,0.666,,,,,,,,,Table S1,0,1,,successful males had lower trip duration,
191,Patrick,2014,Thalassarche melanophrys,black-browed albatross,Aves,sub-antarctic island,104a,104a,f,b,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,foraging,continuous,"PCA variables while foraging (range, duration, max latitude…)",among,among,0,73,,GLMM with binomial distribution and logit link function,1,,0,chi-square,pos,1,0.1981,,,,3.06,,,0.08,,0.4041,,,,,,,,,results p6,0,1,,,
192,Patrick,2015,Diomedea exulans,wandering albatross,Aves,sub-antarctic island,102a,102a,f,m,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,aggression,continuous,scale of responses to human approach from 5 m (from 0 no response to 4 birds stand up),among,among,0,571,571,GLMM with binomial distribution and logit link function,,,0,Eq 10,neg,1,-0.011,,,,,,,,,-0.022064341,-0.04,,,0.04,0.955824252,,,,Table S4,1,1,,"total sample size is 1142, assumed that half were males and half were females so just divided by 2 to get N for each sex.calculated SD (srqt (n) * se) and then d (=beta/SD) and use ES calculator excel file to convert to r. ",
192,Patrick,2015,Diomedea exulans,wandering albatross,Aves,sub-antarctic island,102a,103a,f,f,a,repro,reproductive success (successful fledging of a chick for a nest with an egg laid),nat,aggression,continuous,scale of responses to human approach from 5 m (from 0 no response to 4 birds stand up),among,among,0,571,571,GLMM with binomial distribution and logit link function,,,0,Eq 10,neg,1,-0.0165,,,,,,,,,-0.033096512,-0.06,,,0.04,0.955824252,,,,Table S4,1,1,,"total sample size is 1142, assumed that half were males and half were females so just divided by 2 to get N for each sex.calculated SD (srqt (n) * se) and then d (=beta/SD) and use ES calculator excel file to convert to r. ",
192,Patrick,2015,Diomedea exulans,wandering albatross,Aves,sub-antarctic island,102a,120a,f,b,a,repro,age at first reproduction,nat,aggression,continuous,scale of responses to human approach from 5 m (from 0 no response to 4 birds stand up),among,phenotypic,0,1142,1142,LMM,1,,0,chi-square,pos,1,0.0162,,,,0.3,,,0.59,,,,,,,,,,,Table S3,1,1,,here both males and females are included in the analyses. ,
193,Patterson,2011,Tamias striatus,eastern chipmunk,Mammalia,Canada,101a,101a,w,m,a,repro,reproductive success (number of offspring),nat,boldness,continuous,An index of trappability was formed from the residuals of the regression between the number of captures and the minimum number of trapping days that the individual was known to be on the grid (date of last capture  first capture +1).,phenotypic,phenotypic,0,26,,stepwise regression GLM with poisson and log link function,25,,0,Eq 2,pos,1,0.2734,,2.02,,,,,,,,,,,,,,,,text,0,1,,extracted model A and not model C,
195,Penteriani,2002,Accipiter gentilis,goshawk,Aves,France,111a,111a,f,m,a,repro,number of fledged young,nat,courtship,continuous,duration of vocalisation (sec) 3 months before egg laying,phenotypic,phenotypic,0,9,27,spearman correlation,,,1,direct,pos,1,0.4522,,,,,,,,0.114,,,,,,,,,,Fig 1,0,1,,extracted data from fig 1 and ran a correlation analysis,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,99a,99a,w,f,a,survival,whether or not individuals were recaptured,nat,exploration,categorical,yes/no animal entered NE,phenotypic,phenotypic,1,25,67,binomial glmm,,,0,marginal R2,pos,1,0.0131,,,,,,,,1.72E-04,0.829198659,1.504,,,,,,,,raw data,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,99a,99a,w,f,a,survival,whether or not individuals were recaptured,nat,stress,continuous,breath rate during handling,phenotypic,phenotypic,2,25,75,binomial glmm,,,0,marginal R2,pos,1,0.0026,,,,,,,,6.83E-06,0.023414938,0.04247,,,,,,,,raw data,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,99a,99a,w,f,a,survival,whether or not individuals were recaptured,nat,exploration,continuous,time spent in a novel environment,phenotypic,phenotypic,3,25,67,binomial glmm,,,0,marginal R2,pos,1,0.0186,,,,,,,,3.47E-04,0.501984959,0.9105,,,,,,,,raw data,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,E-198,E-199,w,m,a,survival,whether or not individuals were recaptured,nat,exploration,continuous,time spent in a novel environment,phenotypic,phenotypic,0,22,48,binomial glmm,,,0,marginal R2,pos,1,0.1909,,,,,,,,3.64E-02,0.027858649,0.05053,,,,,,,,raw data,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,E-198,E-199,w,m,a,survival,whether or not individuals were recaptured,nat,stress,continuous,breath rate during handling,phenotypic,phenotypic,0,22,53,binomial glmm,,,0,marginal R2,pos,1,0.0111,,,,,,,,1.24E-04,0.076359052,0.1385,,,,,,,,raw data,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,E-198,E-199,w,m,a,survival,whether or not individuals were recaptured,nat,exploration,categorical,yes/no animal entered NE,phenotypic,phenotypic,0,22,48,binomial glmm,,,0,marginal R2,pos,1,0.0061,,,,,,,,3.72E-05,0.35527634,0.6444,,,,,,,,raw data,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,99a,99a,w,f,a,survival,whether or not individuals were recaptured,nat,stress,continuous,breath rate during handling,among,phenotypic,2,25,75,MCMC glmm,,,1,moiron,pos,-1,,0.141,,,,,,,,,,,,-0.323,,,,,moiron et al,1,1,,kept sign the same as Moiron,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,99a,99a,w,f,a,survival,whether or not individuals were recaptured,nat,exploration,continuous,time spent in novel environment,among,phenotypic,3,25,67,MCMC glmm,,,1,moiron,pos,1,,1.946,,,,,,,,,,,,-0.075,,,,,moiron et al,1,1,,,
197,Piquet,2018,Atlantoxerus getulus ,barbary ground squirrel,Mammalia,Canary Islands,99a,99a,w,f,a,survival,whether or not individuals were recaptured,nat,exploration,categorical,yes/no animal entered NE,among,phenotypic,1,25,67,MCMC glmm,,,1,moiron,pos,1,,0.887,,,,,,,,,,,,-0.195,,,,,moiron et al,1,1,,,
201,Pruitt,2017,Chlorostoma funebralis,black turban snail,Gastropoda,USA,97a,97a,w,u,u,survival,number eaten by predator,art,boldness,categorical,scores based on how quickly snails emerged from water and how high in presence of predator,phenotypic,phenotypic,0,180,,logistic regression,,,1,d to r,neg,-1,-0.1446,,,,,,,,,0.292179549,0.2,0.1,0.3,,0.684510605,,,,text,1,1,no predator interaction,exp 1: when predator did not interact. Assumed that Least Square means was equivalent to beta and used d (=beta/SD) and use ES calculator excel file to convert to r,
206,Quinn,2009,Parus major,great tit,Aves,UK,92a,92a,w,f,a,repro,clutch size in a given breeding season,nat,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,1,324,644,lmm,639.66,,0,Eq 2,neg,1,-0.0363,,0.8445,,,,,,0.00126,,-0.05507,,,0.05993,,,,,raw data,1,1,,used lmerTest package to get F stat and df,
206,Quinn,2009,Parus major,great tit,Aves,UK,92a,92a,w,f,a,repro,clutch size in a given breeding season,nat,exploration,continuous,activity in a novel environment,among,among,1,324,644,MCMC glmm,,,1,direct,neg,1,-0.09,,,,,,,,,,,,,,,,,,raw data,1,1,,,
206,Quinn,2009,Parus major,great tit,Aves,UK,92a,92a,w,f,a,repro,clutch size in a given breeding season,nat,exploration,continuous,activity in a novel environment,within,within,1,324,644,MCMC glmm,,,1,direct,pos,1,0,,,,,,,,,,,,,,,,,,raw data,1,1,,,
206,Quinn,2009,Parus major,great tit,Aves,UK,92a,92a,w,f,a,survival,max age recorded,nat,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,2,324,644,poisson glmm,,,1,marginal R2,pos,1,0.002167948,,,,,,,,0.0000047,,,,,,,,,,raw data,1,1,,used lmerTest package to get F stat and df,
206,Quinn,2009,Parus major,great tit,Aves,UK,92a,92a,w,f,a,survival,max age recorded,nat,exploration,continuous,activity in a novel environment,among,phenotypic,2,324,644,MCMC glmm,,,1,moiron,pos,1,,0.445,,,,,,,,,,,,-0.372,,,,,raw data,1,1,,,
206,Quinn,2009,Parus major,great tit,Aves,UK,93a,93a,w,m,a,repro,clutch size in a given breeding season,nat,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,3,297,646,lmm,639.19,,0,Eq 2,neg,1,-0.0143,,0.1314,,,,,,0.00019709,,,,,,,,,,raw data,1,1,,used lmerTest package to get F stat and df,
206,Quinn,2009,Parus major,great tit,Aves,UK,93a,93a,w,m,a,repro,clutch size in a given breeding season,nat,exploration,continuous,activity in a novel environment,among,among,3,297,646,MCMC glmm,,,1,direct,neg,1,-0.05,,,,,,,,,,,,,,,,,,raw data,1,1,,,
206,Quinn,2009,Parus major,great tit,Aves,UK,93a,93a,w,m,a,repro,clutch size in a given breeding season,nat,exploration,continuous,activity in a novel environment,within,within,3,297,646,MCMC glmm,,,1,direct,pos,1,0,,,,,,,,,,,,,,,,,,raw data,1,1,,,
206,Quinn,2009,Parus major,great tit,Aves,UK,93a,93a,w,m,a,survival,max age recorded,nat,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,4,297,646,poisson glmm,,,0,marginal R2,pos,1,0.036878734,,,,,,,,0.001360041,,,,,,,,,,raw data,1,1,,used lmerTest package to get F stat and df,
206,Quinn,2009,Parus major,great tit,Aves,UK,93a,93a,w,m,a,survival,max age recorded,nat,exploration,continuous,activity in a novel environment,among,phenotypic,4,297,646,MCMC glmm,,,1,moiron,pos,1,,0.238,,,,,,,,,,,,-0.409,,,,,raw data,1,1,,,
208,Reale,2003,Ovis canadensis,bighorn sheep,Mammalia,Canada,90a,90a,f,f,a,survival,survival in a 4 year period,nat,boldness,continuous,frequency of captures,among,phenotypic,1,67,288,MCMC glmm,,,1,moiron,pos,1,,0.53,,,,,,,,,,,,-0.179,,,,,moiron et al,1,1,1998,,
208,Reale,2003,Ovis canadensis,bighorn sheep,Mammalia,Canada,90a,90a,f,f,a,survival,survival in a 4 year period,nat,boldness,continuous,frequency of captures,phenotypic,phenotypic,1,67,288,binomial glmm,,,0,marginal R2,pos,1,3.01E-09,,,,,,,,9.06E-18,,,,,,,,,,raw data,1,1,1998,,
208,Reale,2003,Ovis canadensis,bighorn sheep,Mammalia,Canada,90a,90a,f,f,a,survival,survival in a 4 year period,nat,stress,continuous,reaction to handlers (docility),among,phenotypic,2,56,304,MCMC glmm,,,1,moiron,neg,-1,,-0.146,,,,,,,,,,,,-0.158,,,,,moiron et al,1,1,1998,,
208,Reale,2003,Ovis canadensis,bighorn sheep,Mammalia,Canada,90a,90a,f,f,a,survival,survival in a 4 year period,nat,stress,continuous,reaction to handlers (docility),phenotypic,phenotypic,2,56,304,binomial glmm,,,0,marginal R2,neg,-1,-3.25E-09,,,,,,,,1.06E-17,,0.1161,,,,,,,,raw data,1,1,1998,,
208,Reale,2003,Ovis canadensis,bighorn sheep,Mammalia,Canada,90a,90a,f,f,a,survival,survival in a 4 year period,nat,activity,continuous,proportion of observation the female was the leader of the group over the total number of observaiton for that female in 1998,phenotypic,phenotypic,0,53,,logistic regression,,,0,d to r,pos,1,0.0244,,,,,,,,,0.048868662,0.037,,,0.104,0.757131428,,,,Table 2,0,1,1998,used beta(avvgrad) from Janzen & Stern 1998 as beta estimate,
209,Reale,2000,Ovis canadensis,bighorn sheep,Mammalia,Canada,89a,89a,f,f,a,repro,number of lambs weaned,nat,boldness,continuous,frequency of captures,phenotypic,phenotypic,0,41,,multiple regression,35,,0,direct,pos,1,0.989,,7.804,,,,,0.008,,,,,,0.35,2.241093483,,,,Table 2,1,1,,,
210,Reale,2009,Ovis canadensis,bighorn sheep,Mammalia,Canada,88a,88a,f,m,a,repro,yearly reproductive success (reproductive success of a male minus the mean reproductive success of all adult males in a given year),nat,boldness,continuous,frequency of captures,among,among,0,105,,GLM poisson and log link function,,,0,d to r,pos,1,0.0688,,,,,,,,,0.137985871,0.345,,,0.244,2.500255987,,,,Table 4,0,1,,,
210,Reale,2009,Ovis canadensis,bighorn sheep,Mammalia,Canada,88a,88a,f,m,a,repro,yearly reproductive success (reproductive success of a male minus the mean reproductive success of all adult males in a given year),nat,stress,continuous,reaction to handlers,among,among,0,105,,GLM poisson and log link function,,,0,d to r,pos,-1,0.0292,,,,,,,,,0.058554004,0.099,,,0.165,1.690746876,,,,Table 4,0,1,,,
210,Reale,2009,Ovis canadensis,bighorn sheep,Mammalia,Canada,88a,88a,f,m,a,survival,longevity,nat,boldness,continuous,frequency of captures,among,phenotypic,0,105,,GLM poisson and log link function,,,0,d to r,pos,1,0.1019,,,,,,,,,0.204816003,0.999,,,0.476,4.877548565,,,,Table 3,0,1,,,
210,Reale,2009,Ovis canadensis,bighorn sheep,Mammalia,Canada,88a,88a,f,m,a,survival,longevity,nat,stress,continuous,reaction to handlers,among,phenotypic,0,105,,GLM poisson and log link function,,,0,d to r,neg,-1,-0.1665,,,,,,,,,0.337852362,1.274,,,0.368,3.770877882,,,,Table 3,0,1,,,
211,Reaney,2007,Uca mjoebergi,fiddler crab,Malacostraca,Australia,87a,87a,f,m,a,repro,mate choice  ,nat,boldness,continuous,Time to re-emerge from burrow following simulated predator attack,phenotypic,phenotypic,0,24,,none,1,,0,chi-square,pos,1,0.7419,,,,13.2114,,,0.002,,2.2132,,,,,,,,,text below fig 2,0,1,,calculated chi square based on 8 out of 10 bold males mated and 1 out of 13 shy males mated. ,"Males that engaged in risky behavior and reemerged soon after the simulated predation attack ( 25 s) were classified as bold, whereas those that delayed reemergence ( 50 s) were classified as shy"
212,Redmont,2009,Tyrannus tyrannus,eastern kingbird,Aves,USA,85a,85a,f,m,a,repro,nest success as a simple binary variable in which a nest either failed (no young fledged) or was successful (>1 young fledged),nat,aggression,continuous,"nest defense behaviour scored on a scale of 1 (least aggressive) to 5 (most aggressive): (1) calling by the individual, (2) approaching the mount, (3) hovering above the mount, (4) diving at the mount, and (5) striking the mount. They all did 1 and 2 so nest defense index calculated from 3, 4 and 5.",phenotypic,phenotypic,0,47,,GLM,,,0,mean SD,neg,1,-0.2092,,,,,,,,,-0.4278,,,,,,,,,Table 2,0,1,behaviour during incubation,Male defense behaviour during incubation,
212,Redmont,2009,Tyrannus tyrannus,eastern kingbird,Aves,USA,85a,85a,f,m,a,repro,nest success as a simple binary variable in which a nest either failed (no young fledged) or was successful (>1 young fledged),nat,aggression,continuous,"nest defense behaviour scored on a scale of 1 (least aggressive) to 5 (most aggressive): (1) calling by the individual, (2) approaching the mount, (3) hovering above the mount, (4) diving at the mount, and (5) striking the mount. They all did 1 and 2 so nest defense index calculated from 3, 4 and 5.",phenotypic,phenotypic,0,39,,GLM,,,0,mean SD,neg,1,-0.0653,,,,,,,,,-0.1308,,,,,,,,,Table 2,0,1,behaviour at nestling stage,Male defense behaviour during nestling,
212,Redmont,2009,Tyrannus tyrannus,eastern kingbird,Aves,USA,86a,86a,f,f,a,repro,nest success as a simple binary variable in which a nest either failed (no young fledged) or was successful (>1 young fledged),nat,aggression,continuous,"nest defense behaviour scored on a scale of 1 (least aggressive) to 5 (most aggressive): (1) calling by the individual, (2) approaching the mount, (3) hovering above the mount, (4) diving at the mount, and (5) striking the mount. They all did 1 and 2 so nest defense index calculated from 3, 4 and 5.",phenotypic,phenotypic,0,51,,GLM,,,0,mean SD,neg,1,-0.036,,,,,,,,,-0.0721,,,,,,,,,Table 2,0,1,behaviour during incubation,female defense behaviour during incubation,
212,Redmont,2009,Tyrannus tyrannus,eastern kingbird,Aves,USA,86a,86a,f,f,a,repro,nest success as a simple binary variable in which a nest either failed (no young fledged) or was successful (>1 young fledged),nat,aggression,continuous,"nest defense behaviour scored on a scale of 1 (least aggressive) to 5 (most aggressive): (1) calling by the individual, (2) approaching the mount, (3) hovering above the mount, (4) diving at the mount, and (5) striking the mount. They all did 1 and 2 so nest defense index calculated from 3, 4 and 5.",phenotypic,phenotypic,0,40,,GLM,,,0,mean SD,neg,1,-0.0146,,,,,,,,,-0.0291,,,,,,,,,Table 2,0,1,behaviour during nestling stage,female defense behaviour during nestling,
215,Riviera-Gutierrez,2017,Parus major,great tit,Aves,belgium,84a,84a,w,m,a,repro,clucth size,art,exploration,continuous,sum of all movements over a 2 min period in a novel environment,phenotypic,phenotypic,0,29,,spearman correlation,,,1,direct,pos,1,0.0844,,,,,0.462,,0.648,0.007842,,,,,0.031,,,,,Table S3,0,1,,authors did not test for a correlation between exploration and clutch size but raw data were available so ran correlation,
216,Roche,2013,Petrochelidon pyrrhonota,cliff swallow,Aves,USA,83a,83a,f,b,a,repro,"At 17 days post hatching, the number of nestlings surviving in each nest was determined",nat,boldness,continuous,tabulation of the total number of 15-sec increments during which a swallow was observed being vigilant for each 15-min focal observation period. Then log transformed. ,among,phenotypic,0,116,,LMM,,,1,direct,neg,1,-0.16,,,,,,,0.08,,,,,,,,,,,text,0,1,,,
217,Rodel,2015,Oryctolagus cuniculus,european rabbit,Mammalia,Germany,81a,81a,l,b,j,survival,probablity of survival until autumn (few months after birth),art,exploration,continuous,time spent exploring at the entrance of burrow from postnatal day 18,phenotypic,phenotypic,0,107,,GLMM binomial error and logit link function,1,,0,chi-square,neg,1,-0.2125,,,,4.83,,,0.28,,0.4349,,,,,,,,,text,0,1,,used the chi square provided in text instead of unknown R2. animal with higher exploration index had a lower probability of survival,
217,Rodel,2015,Oryctolagus cuniculus,european rabbit,Mammalia,Germany,82a,82a,l,b,j,survival,probablity of survival until autumn (few months after birth),art,exploration,continuous,"PCA with total distance, time spend in center of an open field",phenotypic,phenotypic,0,110,,GLMM binomial error and logit link function,1,,0,chi-square,neg,1,-0.227,,,,5.67,,,0.017,,0.4662,,,,,,,,,text ,0,1,,used the chi square provided in text instead of unknown R2.animal with higher exploration index had a lower probability of survival,
218,Rosenbaum,2018,Gorilla beringei,mountain gorilla,Mammalia,Rwanda,80a,80a,f,m,a,repro,total number of offspring,nat,parental care,continuous,total percentage of time the focal male spent grooming + resting in physical contact with infants. Values for each behaviour was divided by the  mean value for all the males. ,phenotypic,phenotypic,0,23,500,Negative binomial regression model,13,,0,Eq 10,pos,1,0.9409,,,,,,13.74,,,5.554697972,10.07,,,0.73,3.500957012,,,,Table 1,0,1,,"take log OR, convert to d using Eq 10, then use ES calculator",
219,Santicchia,2018,Sciurus vulgaris,eurasian red squirrel,Mammalia,Italy,78a,78a,f,f,a,survival,Length of residency (number of months between first and last capture),nat,boldness,continuous,number of times captured in a season,among,phenotypic,1,17,34,MCMC glmm,,,1,moiron,pos,1,,0.925,,,,,,,,,,,,-0.163,,,,,Moiron et al,1,1,,all pops merged,
219,Santicchia,2018,Sciurus vulgaris,eurasian red squirrel,Mammalia,Italy,78a,78a,f,f,a,survival,Length of residency (number of months between first and last capture),nat,boldness,continuous,number of times captured in a season,phenotypic,phenotypic,1,17,34,poisson glmm,,,0,marginal R2,pos,1,0.124577004,,,,,,,,0.01551943,,,,,,,,,,raw data,1,1,,all pops merged,
219,Santicchia,2018,Sciurus vulgaris,eurasian red squirrel,Mammalia,Italy,78a,78a,f,f,a,survival,Length of residency (number of months between first and last capture),nat,exploration,continuous,number of different traps captured in throughout season,among,phenotypic,2,17,34,MCMC glmm,,,1,moiron,pos,1,,0.456,,,,,,,,,,,,-0.261,,,,,Moiron et al,1,1,,all pops merged,
219,Santicchia,2018,Sciurus vulgaris,eurasian red squirrel,Mammalia,Italy,78a,78a,f,f,a,survival,Length of residency (number of months between first and last capture),nat,exploration,continuous,number of different traps captured in throughout season,phenotypic,phenotypic,2,17,34,lmm,,,0,marginal R2,pos,1,0,,,,,,,,0,,,,,,,,,,raw data,1,1,,all pops merged,
